,housing_units,latt,long,median_house_value,population
37042,27232.0,36.6,-87.4,121700.0,66916.0
37043,17197.0,36.5,-87.2,173300.0,39945.0
37046,1507.0,35.8,-86.7,261800.0,3665.0
37047,1014.0,35.3,-86.8,103500.0,2345.0
37048,2374.0,36.5,-86.6,193900.0,6030.0
37049,1261.0,36.55,-86.69,169000.0,3244.0
37050,839.0,36.3,-87.6,76700.0,1699.0
37051,1524.0,36.3,-87.4,136300.0,3677.0
37052,1096.0,36.38,-87.41,155100.0,2656.0
37055,11508.0,36.1,-87.4,137900.0,27024.0
37057,383.0,36.4,-86.02,114500.0,834.0
37058,3806.0,36.5,-87.9,124500.0,7081.0
37059,693.0,35.96,-85.9,82100.0,1552.0
37060,942.0,35.75,-86.63,149100.0,2230.0
37061,2278.0,36.3,-87.7,89100.0,5153.0
37062,4156.0,35.99,-87.13,173700.0,10745.0
37064,18832.0,35.9,-87.0,299700.0,48118.0
37066,18064.0,36.4,-86.5,172700.0,42758.0
37067,10140.0,35.91,-86.78,364900.0,23652.0
37069,6709.0,35.99,-86.91,366700.0,18899.0
37072,13119.0,36.4,-86.8,172000.0,30215.0
37073,5178.0,36.4,-86.8,157400.0,13350.0
37074,3034.0,36.4,-86.1,94300.0,6965.0
37075,24414.0,36.3,-86.6,209600.0,59256.0
37076,16694.0,36.1,-86.6,156400.0,35230.0
37078,387.0,35.9,-87.8,138500.0,674.0
37079,1146.0,36.5,-87.7,125100.0,2578.0
37080,3152.0,36.32,-86.92,157200.0,7384.0
37082,2456.0,36.1,-87.11,185300.0,6107.0
37083,6163.0,36.5,-86.0,111300.0,13909.0
37085,1550.0,35.95,-86.29,214300.0,4035.0
37086,11274.0,36.02,-86.57,130400.0,31513.0
37087,16949.0,36.3,-86.3,170800.0,41132.0
37090,5246.0,36.1,-86.3,173200.0,12922.0
37091,9157.0,35.5,-86.8,98600.0,21005.0
37095,906.0,36.0,-86.0,116400.0,1854.0
37096,3193.0,35.6,-87.8,84200.0,5503.0
37097,1324.0,35.8,-87.8,91800.0,2294.0
37098,2245.0,35.9,-87.3,91100.0,5382.0
37101,2851.0,36.1,-87.7,107600.0,6422.0
37110,14618.0,35.7,-85.7,91800.0,32495.0
